activity,window_id,timestamp,seconds_elapsed,z_accel,y_accel,x_accel,z_gyro,y_gyro,x_gyro
standing,21,10.254433889835438,10.254433889835438,0.17757666000074762,0.06695238095911464,-0.188925071278603,0.05506529171476253,0.03535992850336983,0.0027238326334297226
standing,21,10.264440523188163,10.264440523188163,0.22475984778308813,0.034088031962153174,-0.16447109857818284,0.034844966349459126,0.03875521404446631,0.02397224653292993
standing,21,10.27444715654089,10.27444715654089,0.26995278140228185,0.0052602668536558175,-0.11315349443357729,0.009985325988042148,0.03601850300948975,0.040938600938897646
standing,21,10.284453789893616,10.284453789893616,0.27670463912059606,-0.009970594895750579,-0.061489779669252696,-0.013479934539557856,0.03654102395102324,0.04728147345292207
standing,21,10.294460423246342,10.294460423246342,0.29469763651736797,-0.037260193219220104,-0.023205688083901947,-0.03682941091551284,0.05052938823445782,0.04522393416065256
standing,21,10.30446705659907,10.30446705659907,0.31452702124929455,-0.05529267584355617,0.009342026244641727,-0.05198525658630357,0.0688584115392089,0.034396492852198694
standing,21,10.314473689951795,10.314473689951795,0.3209356933871828,-0.05311630900933687,0.005927919787566188,-0.05917077552347542,0.06123186734315929,0.0133281055092302
standing,21,10.32448032330452,10.32448032330452,0.23717749994649642,-0.06817445246487952,-0.03720753293524925,-0.06971050121246983,0.04493877613864911,0.00012015293671927994
standing,21,10.334486956657246,10.334486956657246,0.0989669285448463,-0.10939518986478769,-0.06462199256758124,-0.08813486873185464,0.049847306918769534,-0.005363781958178465
standing,21,10.344493590009973,10.344493590009973,0.1209703714304212,-0.07811687877619908,-0.0454278827973269,-0.10929255586325554,0.05415978405949045,-0.0032683707651983453
standing,21,10.354500223362699,10.354500223362699,0.0050453107358828485,0.000150540331526918,-0.07413491378500997,-0.12283853877015302,0.09395592109980294,-0.0015199013065662957
standing,21,10.364506856715424,10.364506856715424,-0.07223232064687798,-0.0001824062911092822,-0.175594756181852,-0.130081552614176,0.15891170877665212,0.002916603015457322
standing,21,10.374513490068152,10.374513490068152,-0.04880141202884556,0.010895076946097435,-0.26071039155114795,-0.14450538494947687,0.1920440882935021,-0.0008528511264690108
standing,21,10.384520123420877,10.384520123420877,-0.10603856329597273,0.06783695332187555,-0.2793020654597393,-0.15261475515852355,0.2102906625168568,-0.0009755712533064359
