activity,session,window_id,timestamp,seconds_elapsed,z_accel,y_accel,x_accel,z_gyro,y_gyro,x_gyro
standing,standing16-2026-07-04_12-49-17,6,3.51135058958139,3.51135058958139,0.10697978905091315,0.09793021895740725,0.12190928615623584,0.015624928838525665,-0.020822189348182727,0.0013018870936278952
standing,standing16-2026-07-04_12-49-17,6,3.5213574060848107,3.5213574060848107,0.11401512527039653,0.12009409433018749,0.11332629204351233,0.021408267565030892,-0.014269861646609275,-0.029379065518302366
standing,standing16-2026-07-04_12-49-17,6,3.531364222588231,3.531364222588231,0.12097945699995656,0.13714119411930112,0.09053030145516952,0.02897962910083574,-0.0024420929855037115,-0.05624998697889247
standing,standing16-2026-07-04_12-49-17,6,3.5413710390916515,3.5413710390916515,0.1020814854701404,0.14644921544900777,0.1098867282787433,0.03319459655096188,0.0038154194534571187,-0.08061371046089123
standing,standing16-2026-07-04_12-49-17,6,3.5513778555950717,3.5513778555950717,0.07886331707098387,0.14552108576534079,0.13391083351466565,0.03801058680497821,0.004868862596135287,-0.09712277393447849
standing,standing16-2026-07-04_12-49-17,6,3.5613846720984923,3.5613846720984923,0.07253585854485621,0.15660828733435878,0.11919285590226418,0.04135173268239247,-0.002150416213241719,-0.10341143223284896
standing,standing16-2026-07-04_12-49-17,6,3.5713914886019125,3.5713914886019125,0.03837828314176702,0.17674844410219614,0.09930664886455752,0.04828936921009931,-0.016688295781681968,-0.10021379780588648
standing,standing16-2026-07-04_12-49-17,6,3.581398305105333,3.581398305105333,-0.039474078643871674,0.1880815933124116,0.07756514728558211,0.05740170085801194,-0.019425543666084923,-0.08975516904024827
standing,standing16-2026-07-04_12-49-17,6,3.5914051216087532,3.5914051216087532,-0.08332381567766667,0.20142024761309102,0.06056180245896278,0.06367086578658834,-0.006716680001334479,-0.06736691542327261
standing,standing16-2026-07-04_12-49-17,6,3.601411938112174,3.601411938112174,-0.10754941628889349,0.21128456230836862,0.04825219859741959,0.07131647101356427,0.013806165404785953,-0.03667203573396256
standing,standing16-2026-07-04_12-49-17,6,3.611418754615594,3.611418754615594,-0.09856775131771096,0.22187883373468198,0.021480637104402657,0.07941054096799509,0.03424863272399843,0.00016996634440626449
standing,standing16-2026-07-04_12-49-17,6,3.6214255711190146,3.6214255711190146,-0.09047845920443383,0.21603757093833417,-0.0009256949467774545,0.08323055501272685,0.02438042649530798,0.029089497120040872
standing,standing16-2026-07-04_12-49-17,6,3.631432387622435,3.631432387622435,-0.11684960010393575,0.17608014283386964,-0.0019510701014927275,0.08510012639925471,-0.002401815915498911,0.04475864342653393
standing,standing16-2026-07-04_12-49-17,6,3.6414392041258554,3.6414392041258554,-0.10137122913381413,0.11711163796168315,0.004761632780073596,0.08378074524178641,-0.021437953822517182,0.046210237724774214
standing,standing16-2026-07-04_12-49-17,6,3.6514460206292756,3.6514460206292756,-0.06687134752272816,0.10379900808307319,-0.022101111269599363,0.0763381220402742,-0.02274280012134019,0.03697595137460489
standing,standing16-2026-07-04_12-49-17,6,3.661452837132696,3.661452837132696,-0.041515917652966014,0.11708160528923625,-0.05220879711227179,0.06739083646243457,-0.010711005293376437,0.018386055506020293
standing,standing16-2026-07-04_12-49-17,6,3.6714596536361164,3.6714596536361164,-0.03497493451589869,0.12004381794041293,-0.05451285213563521,0.057849726171453564,0.007714718690553684,-0.0065451859585985445
standing,standing16-2026-07-04_12-49-17,6,3.681466470139537,3.681466470139537,-0.02945864185682736,0.10627081171536507,-0.07103544384010067,0.05508436451414283,0.026255987303108783,-0.02666898373595425
standing,standing16-2026-07-04_12-49-17,6,3.691473286642957,3.691473286642957,-0.021125471583744986,0.07963717638710506,-0.10559068704080263,0.05492227173308455,0.030261247131160664,-0.044260030550546586
standing,standing16-2026-07-04_12-49-17,6,3.7014801031463778,3.7014801031463778,-0.0518199161828492,0.061952922991593,-0.11974668428479728,0.05684480464671217,0.02170932005180297,-0.04538113026212198
standing,standing16-2026-07-04_12-49-17,6,3.7114869196497984,3.7114869196497984,-0.049991099603424925,0.053206176724583776,-0.1043708556596231,0.054966941605430336,0.02690912082260328,-0.02907285286575124
standing,standing16-2026-07-04_12-49-17,6,3.7214937361532185,3.7214937361532185,0.004094222291810279,0.0667837770505921,-0.10295863205242504,0.052945842379435865,0.02859478871474672,0.006639345851345336
standing,standing16-2026-07-04_12-49-17,6,3.731500552656639,3.731500552656639,0.03822952445485711,0.09404054874344028,-0.11714481305943743,0.046994192401785796,0.020260865527323833,0.04138453011910116
