time,seconds_elapsed,z,y,x
1782667700598520600,0.0855205078125,-0.92919921875,-0.3006439208984375,0.0887451171875
1782667700608468500,0.095468505859375,-0.9328155517578125,-0.327789306640625,0.103302001953125
1782667700618417400,0.10541748046875,-0.9312591552734375,-0.345794677734375,0.1072540283203125
1782667700628396500,0.115396484375,-0.9271087646484375,-0.3530120849609375,0.104095458984375
1782667700638345500,0.125345458984375,-0.93048095703125,-0.35540771484375,0.1009674072265625
1782667700648294400,0.13529443359375,-0.939971923828125,-0.3524627685546875,0.0956573486328125
1782667700658243300,0.145243408203125,-0.9371337890625,-0.341796875,0.0867156982421875
1782667700668222500,0.155222412109375,-0.9237060546875,-0.330535888671875,0.0751495361328125
1782667700678170400,0.16517041015625,-0.912261962890625,-0.3251800537109375,0.0699310302734375
1782667700688119300,0.175119384765625,-0.90704345703125,-0.3267364501953125,0.0697784423828125
1782667700698068500,0.185068359375,-0.9030609130859375,-0.33514404296875,0.067352294921875
1782667700708017700,0.195017578125,-0.9045562744140625,-0.3444976806640625,0.06689453125
1782667700717996500,0.20499658203125,-0.903472900390625,-0.3483428955078125,0.0702362060546875
1782667700727945500,0.214945556640625,-0.893218994140625,-0.3526458740234375,0.0764312744140625
1782667700737893600,0.2248935546875,-0.8884429931640625,-0.3537445068359375,0.07989501953125
1782667700747842600,0.234842529296875,-0.88909912109375,-0.3532867431640625,0.07763671875
1782667700757821400,0.244821533203125,-0.888031005859375,-0.359283447265625,0.073516845703125
1782667700767770600,0.2547705078125,-0.8925628662109375,-0.370452880859375,0.071868896484375
1782667700777719600,0.264719482421875,-0.8998565673828125,-0.3772430419921875,0.066680908203125
1782667700787668500,0.27466845703125,-0.90008544921875,-0.3712005615234375,0.0551605224609375
1782667700797647400,0.2846474609375,-0.9092254638671875,-0.3647003173828125,0.0413665771484375
1782667700807596500,0.294596435546875,-0.9026031494140625,-0.3605194091796875,0.0366363525390625
1782667700817544400,0.30454443359375,-0.89166259765625,-0.354034423828125,0.0444488525390625
1782667700827493400,0.314493408203125,-0.8998870849609375,-0.3567962646484375,0.0494537353515625
1782667700837442300,0.3244423828125,-0.8946685791015625,-0.36749267578125,0.0463104248046875
1782667700847421400,0.33442138671875,-0.891754150390625,-0.3765869140625,0.03411865234375
1782667700857370600,0.34437060546875,-0.8939971923828125,-0.380706787109375,0.02325439453125
1782667700867318300,0.354318359375,-0.89324951171875,-0.3779449462890625,0.0185546875
1782667700877267700,0.364267822265625,-0.8895721435546875,-0.369537353515625,0.02215576171875
1782667700887246600,0.37424658203125,-0.883636474609375,-0.3629608154296875,0.0264739990234375
1782667700897195500,0.384195556640625,-0.8704376220703125,-0.36187744140625,0.02227783203125
1782667700907144400,0.39414453125,-0.8776702880859375,-0.364501953125,0.015380859375
1782667700917093600,0.40409375,-0.90447998046875,-0.367218017578125,0.01641845703125
1782667700927041500,0.41404150390625,-0.92132568359375,-0.3662261962890625,0.0173797607421875
1782667700937021400,0.424021484375,-0.92510986328125,-0.35614013671875,0.019317626953125
1782667700946969600,0.433969482421875,-0.929962158203125,-0.3376617431640625,0.0199737548828125
1782667700956918500,0.44391845703125,-0.933074951171875,-0.3159332275390625,0.0172119140625
1782667700966867500,0.453867431640625,-0.939208984375,-0.2975311279296875,0.0196990966796875
1782667700976846300,0.463846435546875,-0.9445953369140625,-0.29315185546875,0.026947021484375
1782667700986795500,0.47379541015625,-0.9474639892578125,-0.292877197265625,0.03851318359375
1782667700996743400,0.483743408203125,-0.9506378173828125,-0.2909698486328125,0.04339599609375
1782667701006692400,0.4936923828125,-0.9488983154296875,-0.287933349609375,0.048065185546875
1782667701016641500,0.5036416015625,-0.949951171875,-0.28936767578125,0.056549072265625
1782667701026620400,0.513620361328125,-0.95135498046875,-0.293212890625,0.0634307861328125
1782667701036569600,0.523569580078125,-0.95245361328125,-0.299468994140625,0.0681915283203125
1782667701046518500,0.5335185546875,-0.952362060546875,-0.309722900390625,0.0718536376953125
1782667701056466700,0.543466796875,-0.9479827880859375,-0.315673828125,0.0692138671875
