time,seconds_elapsed,z,y,x
1783152187628250000,0.15325,-0.117889404296875,0.0641326904296875,0.00244140625
1783152187647689700,0.172689697265625,-0.2406768798828125,-0.5613861083984375,0.2534942626953125
1783152187657425000,0.1824248046875,-0.22479248046875,-0.564453125,0.1722564697265625
1783152187667129600,0.192129638671875,-0.2052459716796875,-0.5955963134765625,0.09222412109375
1783152187676834000,0.201833984375,-0.189361572265625,-0.6230926513671875,0.0256500244140625
1783152187686569200,0.2115693359375,-0.182647705078125,-0.64691162109375,-0.0195465087890625
1783152187696274000,0.22127392578125,-0.187530517578125,-0.6658477783203125,-0.039093017578125
1783152187705978400,0.230978271484375,-0.196685791015625,-0.6957855224609375,-0.0403289794921875
1783152187715713500,0.240713623046875,-0.190582275390625,-0.7159423828125,-0.0189361572265625
1783152187725448700,0.25044873046875,-0.1661376953125,-0.6909027099609375,0.0250244140625
1783152187735153200,0.260153076171875,-0.1288909912109375,-0.618804931640625,0.08551025390625
1783152187744857900,0.26985791015625,-0.09527587890625,-0.5577239990234375,0.1502532958984375
1783152187754562300,0.279562255859375,-0.0757293701171875,-0.5485687255859375,0.2156219482421875
1783152187764297500,0.28929736328125,-0.08367919921875,-0.5870513916015625,0.2816009521484375
1783152187774002200,0.299002197265625,-0.117889404296875,-0.64263916015625,0.3512420654296875
1783152187783706600,0.30870654296875,-0.1722564697265625,-0.682342529296875,0.4251556396484375
1783152187793411300,0.318411376953125,-0.22784423828125,-0.685394287109375,0.491119384765625
1783152187803146500,0.328146484375,-0.263885498046875,-0.6560821533203125,0.5351104736328125
1783152187812851000,0.337850830078125,-0.2803802490234375,-0.6121063232421875,0.550994873046875
1783152187822555600,0.3475556640625,-0.2883148193359375,-0.57177734375,0.5332794189453125
1783152187832260000,0.357260009765625,-0.298095703125,-0.5662689208984375,0.478912353515625
1783152187841995300,0.366995361328125,-0.3072509765625,-0.5955963134765625,0.3964385986328125
1783152187851699700,0.37669970703125,-0.3139801025390625,-0.606597900390625,0.2999267578125
1783152187861404400,0.386404296875,-0.3267974853515625,-0.5876617431640625,0.2070770263671875
1783152187871109000,0.396109130859375,-0.344512939453125,-0.57421875,0.123382568359375
1783152187880844000,0.405843994140625,-0.3628387451171875,-0.5662689208984375,0.056793212890625
1783152187890548700,0.415548828125,-0.37994384765625,-0.5491790771484375,0.0146484375
1783152187900253200,0.425253173828125,-0.402557373046875,-0.5113067626953125,-0.0103912353515625
1783152187909958000,0.4349580078125,-0.4263763427734375,-0.457550048828125,-0.026275634765625
1783152187919662600,0.44466259765625,-0.44775390625,-0.390350341796875,-0.037872314453125
1783152187929397500,0.4543974609375,-0.4673004150390625,-0.3109283447265625,-0.0507049560546875
1783152187939102200,0.464102294921875,-0.4880828857421875,-0.2303009033203125,-0.06170654296875
1783152187948806700,0.473806640625,-0.50885009765625,-0.1612701416015625,-0.06231689453125
1783152187958511400,0.483511474609375,-0.5332794189453125,-0.1233978271484375,-0.0494842529296875
1783152187968246500,0.49324658203125,-0.561370849609375,-0.1246185302734375,-0.032379150390625
1783152187977951000,0.502950927734375,-0.5766448974609375,-0.1685943603515625,-0.0183258056640625
1783152187987655700,0.51265576171875,-0.5754241943359375,-0.2700042724609375,-0.0116119384765625
1783152187997360000,0.522360107421875,-0.557098388671875,-0.395843505859375,-0.0201568603515625
1783152188007095300,0.53209521484375,-0.5265655517578125,-0.4886932373046875,-0.0470428466796875
1783152188016830500,0.54183056640625,-0.4996795654296875,-0.5271759033203125,-0.0989532470703125
