activity,session,window_id,timestamp,seconds_elapsed,z_accel,y_accel,x_accel,z_gyro,y_gyro,x_gyro
walking,walking20-2026-07-04_12-54-57,15,8.009240521770522,8.009240521770522,-0.22576513647658808,0.11863599520048713,-0.7404801386500708,0.15251553742330223,0.11952063954395667,0.05343665527672657
walking,walking20-2026-07-04_12-54-57,15,8.019240754473554,8.019240754473554,-0.24542986887194246,0.06651210553570863,-0.5141120221915574,0.07410666662879328,0.01760403036220244,0.13232946034330312
walking,walking20-2026-07-04_12-54-57,15,8.029240987176586,8.029240987176586,-0.3784708649262926,-0.17475117459214998,-0.3203619007026546,0.0020459332807966635,-0.13921257826032593,0.1613550649098619
walking,walking20-2026-07-04_12-54-57,15,8.039241219879617,8.039241219879617,-0.48072670930426686,-0.46325481062834134,-0.2499590830663543,-0.06218597694618412,-0.3071979488402671,0.1256140654473963
walking,walking20-2026-07-04_12-54-57,15,8.049241452582649,8.049241452582649,-0.6614886805507098,-0.5348453051271308,-0.28064270328574725,-0.13715907324107623,-0.46850294090061506,0.014142859143866614
walking,walking20-2026-07-04_12-54-57,15,8.05924168528568,8.05924168528568,-0.9553268512115747,-0.40431779299144677,-0.40304286630688935,-0.21983043751596967,-0.5556849305133758,-0.1640934078681125
walking,walking20-2026-07-04_12-54-57,15,8.069241917988714,8.069241917988714,-1.1687182058468821,-0.18541610318714313,-0.6067986786039461,-0.29556500127009355,-0.5007091753336262,-0.37345530004762045
walking,walking20-2026-07-04_12-54-57,15,8.079242150691746,8.079242150691746,-1.1852436026624478,0.044935782461298056,-0.8542537525521716,-0.35421564182787674,-0.2986357589020333,-0.5672721580314728
walking,walking20-2026-07-04_12-54-57,15,8.089242383394778,8.089242383394778,-1.0271403446566016,0.27377706526646023,-1.0870811367104427,-0.3918138787078947,-0.006119399628055078,-0.7016143017026475
walking,walking20-2026-07-04_12-54-57,15,8.09924261609781,8.09924261609781,-0.7685134247909408,0.4923063661209595,-1.2314053572044474,-0.4177461561863587,0.2936924183132177,-0.7538447145378016
walking,walking20-2026-07-04_12-54-57,15,8.109242848800841,8.109242848800841,-0.4603403252119378,0.6666282963054897,-1.2267707055958772,-0.44184437117662834,0.5019276156077314,-0.727697889322196
walking,walking20-2026-07-04_12-54-57,15,8.119243081503873,8.119243081503873,-0.22633024999215742,0.7301436912962427,-1.0810309431225802,-0.4653494924986665,0.5565233409116705,-0.6437553083804642
walking,walking20-2026-07-04_12-54-57,15,8.129243314206905,8.129243314206905,-0.09248733403420695,0.679981089882059,-0.8658811955895451,-0.4740246458993225,0.4761051866496373,-0.525359850233989
walking,walking20-2026-07-04_12-54-57,15,8.139243546909936,8.139243546909936,0.06725100512175039,0.6039058762141922,-0.6437340913883415,-0.4528829619553389,0.3020135353329772,-0.3941095945363241
walking,walking20-2026-07-04_12-54-57,15,8.149243779612968,8.149243779612968,0.23109751999760142,0.5455547550437548,-0.45752407539042517,-0.40295256378214483,0.08016334775845477,-0.2753329735931762
walking,walking20-2026-07-04_12-54-57,15,8.159244012316,8.159244012316,0.280600016624549,0.5335664063014892,-0.31687601172854346,-0.3326822741540997,-0.13520541616923665,-0.19645670823569064
walking,walking20-2026-07-04_12-54-57,15,8.169244245019032,8.169244245019032,0.2193556660746683,0.5609631211197277,-0.25571083648775395,-0.24931421211676744,-0.2953778479323078,-0.172417446641069
walking,walking20-2026-07-04_12-54-57,15,8.179244477722063,8.179244477722063,0.14095896795367757,0.595186027833034,-0.27387343298226974,-0.16122401035893125,-0.3845338776362421,-0.20578223650324254
walking,walking20-2026-07-04_12-54-57,15,8.189244710425095,8.189244710425095,0.06476383675492572,0.6075929342132463,-0.33947994171640805,-0.08142118217145453,-0.4069827813997844,-0.28995016309545696
walking,walking20-2026-07-04_12-54-57,15,8.199244943128127,8.199244943128127,-0.03039593224742347,0.5958752722953393,-0.42923982139257694,-0.012290592665918088,-0.3735292962153314,-0.40376980665764334
walking,walking20-2026-07-04_12-54-57,15,8.20924517583116,8.20924517583116,-0.1238825322520172,0.5387965882688991,-0.49698929198512043,0.04390977240083911,-0.2931821287059424,-0.5126296957226011
walking,walking20-2026-07-04_12-54-57,15,8.219245408534192,8.219245408534192,-0.1883331710213284,0.43416969959116725,-0.5181021710454374,0.08180070010588035,-0.19020476331379227,-0.5841044701234782
walking,walking20-2026-07-04_12-54-57,15,8.229245641237224,8.229245641237224,-0.2166982782451894,0.3225855898434336,-0.5438487371960502,0.08724102255274784,-0.09430547416491489,-0.5961584406999519
walking,walking20-2026-07-04_12-54-57,15,8.239245873940256,8.239245873940256,-0.1709347553540998,0.24111372149512839,-0.5437643097500363,0.05007845120308238,-0.031832742779952496,-0.5401378323366792
walking,walking20-2026-07-04_12-54-57,15,8.249246106643287,8.249246106643287,-0.055160670289448835,0.19028789096246002,-0.4758055745127311,-0.021550052959168942,-0.011921652614527895,-0.4237711461631375
