activity,window_id,timestamp,seconds_elapsed,z_accel,y_accel,x_accel,z_gyro,y_gyro,x_gyro
walking,21,10.250458710586113,10.250458710586113,0.3892832851013381,0.8212491988431989,-1.8324434423833387,-0.597149005951946,-0.09621682807481867,-0.32094440551981496
walking,21,10.260459258163886,10.260459258163886,0.344299818071943,0.8258062706335845,-1.7724858350778971,-0.6387957965042453,-0.0487264855695129,-0.3116096379571581
walking,21,10.270459805741659,10.270459805741659,0.3254705674484404,0.8579052916142389,-1.7393589608731255,-0.659851884079211,0.01486727974202006,-0.2712652858719399
walking,21,10.280460353319432,10.280460353319432,0.4011119444534552,0.9073323788867003,-1.7113621256307112,-0.666075057641845,0.07926555917776305,-0.2215423141639146
walking,21,10.290460900897207,10.290460900897207,0.5250228816631295,0.9451116226557512,-1.6963808645885334,-0.6640851708145719,0.11535650304851379,-0.18409388644856906
walking,21,10.30046144847498,10.30046144847498,0.6076063541718056,0.9359235830702177,-1.687311079041697,-0.6549719346905108,0.10752585417604676,-0.1552758213539617
walking,21,10.310461996052753,10.310461996052753,0.6610078598514112,0.8710400849938533,-1.6444873672639775,-0.6396357786478231,0.06747140940726626,-0.12193400815743519
walking,21,10.320462543630526,10.320462543630526,0.7482009917410937,0.7642220814311068,-1.575232906479672,-0.6256782049199232,0.021494858641696323,-0.08019192450140575
walking,21,10.330463091208301,10.330463091208301,0.8839078480889744,0.661268136630097,-1.4999754029916668,-0.6180881242735999,-0.014645254136509937,-0.031396254591846584
walking,21,10.340463638786074,10.340463638786074,1.0495592661481574,0.5829028892462071,-1.4219491600726972,-0.6107321017727463,-0.03594423095194675,0.013640628764302751
walking,21,10.350464186363848,10.350464186363848,1.1997522486269974,0.510124989533454,-1.3508452181478874,-0.6029633616506804,-0.056104596054507565,0.04267581017000511
walking,21,10.36046473394162,10.36046473394162,1.2985484606254871,0.43539813439205804,-1.2749323986736956,-0.5900181715809668,-0.05877022788468002,0.04683868687106367
walking,21,10.370465281519396,10.370465281519396,1.3571059899772082,0.32978174087439727,-1.205244826456855,-0.5690900280329464,-0.026454755036389617,0.02598304210865926
walking,21,10.380465829097169,10.380465829097169,1.3559121905284484,0.21481061362743378,-1.1546082436428617,-0.5395357126602776,0.04924290155637004,-0.01307402562195423
walking,21,10.390466376674942,10.390466376674942,1.3341968521518783,0.14217931169062825,-1.1415835200933413,-0.5014463486186894,0.15760014727792346,-0.056237170518933254
walking,21,10.400466924252717,10.400466924252717,1.3334633592893221,0.06651715950146152,-1.1840938993781691,-0.4705476346383535,0.2602268535539433,-0.10549295215658833
walking,21,10.41046747183049,10.41046747183049,1.3317014271786942,-0.05308808634644052,-1.1664052884879985,-0.4483695334213074,0.31777464176380676,-0.16179735169781181
walking,21,10.420468019408263,10.420468019408263,1.2625711104970168,-0.18510598261865457,-1.068341921561026,-0.4332159029470437,0.30422487179332397,-0.21230171331700162
walking,21,10.430468566986036,10.430468566986036,1.1455254107766448,-0.29198165738633813,-0.960368065147882,-0.4287427278203186,0.22911520452165182,-0.24691127180456748
walking,21,10.440469114563811,10.440469114563811,1.0615868006488995,-0.35932292425307105,-0.8365052004874779,-0.43205869248545065,0.12333968353284606,-0.2639621527785734
walking,21,10.450469662141584,10.450469662141584,1.0147329191152161,-0.4139263166421951,-0.7441121818788962,-0.43956200572141596,0.017168297719288232,-0.26635633953355303
walking,21,10.460470209719357,10.460470209719357,0.9616824987626789,-0.4521357861594156,-0.7237735778854645,-0.4467838594905832,-0.06766763217491786,-0.2534322884547544
walking,21,10.47047075729713,10.47047075729713,0.8668504458825266,-0.4462525826290685,-0.7584292119835734,-0.44891520939710156,-0.11391916914792174,-0.22563456434010398
walking,21,10.480471304874905,10.480471304874905,0.783195166955623,-0.43376673816966527,-0.8328381704046003,-0.44364160177506556,-0.11664219895553639,-0.19384052802673016
walking,21,10.490471852452679,10.490471852452679,0.7162816637712137,-0.4329636241026822,-0.894257676805315,-0.43381127897303495,-0.09457010146424333,-0.17440816692312208
walking,21,10.500472400030452,10.500472400030452,0.6063585013345524,-0.4310410318937623,-0.9231665471779472,-0.4216734349841087,-0.06252773751597124,-0.1668424925805091
walking,21,10.510472947608227,10.510472947608227,0.45542469946705444,-0.43669475629162796,-0.9217484187662186,-0.4006341077033358,-0.013070933203827302,-0.16024114362360556
walking,21,10.520473495186,10.520473495186,0.33583236056134586,-0.4688328027919242,-0.9076245702042702,-0.378105286605873,0.054061482920449086,-0.14963300665083465
walking,21,10.530474042763773,10.530474042763773,0.2838932524620358,-0.5193848436162114,-0.8604181036178192,-0.36518653263773687,0.11569663731263352,-0.13520887219285932
walking,21,10.540474590341546,10.540474590341546,0.24568674487919295,-0.5632672845187326,-0.7675856436796877,-0.3553900088610556,0.1488711169035045,-0.1276192816499218
walking,21,10.550475137919321,10.550475137919321,0.16185879007640291,-0.5878422177189433,-0.7175451139539103,-0.3397201621618418,0.15747864121058985,-0.13908284467226897
walking,21,10.560475685497094,10.560475685497094,0.032279861936918786,-0.6257757313814495,-0.7087107950633325,-0.32030623634322936,0.17152092767377308,-0.16429815143275667
walking,21,10.570476233074867,10.570476233074867,-0.07961346997996144,-0.7004601322420844,-0.6789429844889158,-0.3024145706832789,0.18313598389864952,-0.19352246140686663
walking,21,10.58047678065264,10.58047678065264,-0.18991819157894735,-0.7434855413037338,-0.6282812517594825,-0.28579917214167766,0.16729600870380454,-0.21547970914196868
walking,21,10.590477328230415,10.590477328230415,-0.3689809128984398,-0.7163991724461347,-0.5999608720361742,-0.2777599049985207,0.14042296643391763,-0.22154840128183023
