activity,session,window_id,timestamp,seconds_elapsed,z_accel,y_accel,x_accel,z_gyro,y_gyro,x_gyro
walking,walking1-2026-06-30_22-27-21,4,2.504851520314638,2.504851520314638,1.2734990195725329,0.6681117220873687,-0.44851921028400915,0.0404849683207554,0.03803361610206897,-0.02175497046787707
walking,walking1-2026-06-30_22-27-21,4,2.514854104311229,2.514854104311229,1.3242521521563249,0.5908935239297987,-0.41729985861482594,0.027980766025184886,-0.0528694207309265,0.0246529519145998
walking,walking1-2026-06-30_22-27-21,4,2.5248566883078207,2.5248566883078207,1.320868678015409,0.5122728377066659,-0.4012053456469969,0.0178686172069518,-0.12962201652556518,0.04731922952829831
walking,walking1-2026-06-30_22-27-21,4,2.5348592723044123,2.5348592723044123,1.2872686490293799,0.4151747550401097,-0.4115160063813443,0.009081559218494243,-0.19213888890333136,0.043187203930946674
walking,walking1-2026-06-30_22-27-21,4,2.544861856301004,2.544861856301004,1.2110147216819809,0.3112421373677371,-0.40466882402478077,0.00252669592327781,-0.22330339744803426,0.019765784952214392
walking,walking1-2026-06-30_22-27-21,4,2.5548644402975955,2.5548644402975955,1.0704255626818011,0.17128773473458767,-0.42636487801550554,-0.010106602931945506,-0.2173517402347458,-0.008086612099530984
walking,walking1-2026-06-30_22-27-21,4,2.564867024294187,2.564867024294187,0.9515484526358984,0.043309523702114106,-0.4555818279872776,-0.030392855403224027,-0.19528269827476974,-0.04298957432455571
walking,walking1-2026-06-30_22-27-21,4,2.5748696082907787,2.5748696082907787,0.8815538263158034,0.0007281284901582517,-0.46691362922190704,-0.05440552688725744,-0.1705148366738064,-0.08294586723302474
walking,walking1-2026-06-30_22-27-21,4,2.5848721922873703,2.5848721922873703,0.7965997134692117,-0.008098400858602112,-0.45565023542084193,-0.06985160480824809,-0.13846851381012132,-0.12793682201219203
walking,walking1-2026-06-30_22-27-21,4,2.594874776283962,2.594874776283962,0.7110565950107594,-0.016858298535145387,-0.449283417966184,-0.06940138461817565,-0.09911260881213216,-0.17417130410900625
walking,walking1-2026-06-30_22-27-21,4,2.6048773602805535,2.6048773602805535,0.6442880073552352,-0.04181236035980614,-0.4737027139890123,-0.05852639519084371,-0.06776277697290944,-0.21928159135741207
walking,walking1-2026-06-30_22-27-21,4,2.614879944277145,2.614879944277145,0.5849905232125289,-0.059011473259069455,-0.5214603874449484,-0.041973278875493764,-0.04108279925772039,-0.2581603024111951
walking,walking1-2026-06-30_22-27-21,4,2.6248825282737367,2.6248825282737367,0.5248685352530117,-0.06417081943280632,-0.5342574313884931,-0.025113422350506925,-0.022271386869509524,-0.2817596597807953
walking,walking1-2026-06-30_22-27-21,4,2.6348851122703283,2.6348851122703283,0.48441756693195986,-0.08267058186352375,-0.49204560543556963,-0.01645406700133348,-0.003338918524437958,-0.2974749664807936
walking,walking1-2026-06-30_22-27-21,4,2.64488769626692,2.64488769626692,0.445385942635312,-0.14058446917808698,-0.4526313791374134,-0.01992386368583816,0.019598144306754654,-0.3093779092874156
walking,walking1-2026-06-30_22-27-21,4,2.6548902802635115,2.6548902802635115,0.3524178618056586,-0.19887170249651506,-0.4351449185290134,-0.032054830726279314,0.04320905542551745,-0.3296649246685858
walking,walking1-2026-06-30_22-27-21,4,2.664892864260103,2.664892864260103,0.24746745172278514,-0.22036659133792186,-0.4035580449066081,-0.047672816748523576,0.06908862752804316,-0.3553830942295389
walking,walking1-2026-06-30_22-27-21,4,2.6748954482566947,2.6748954482566947,0.13726997217614528,-0.23589037931325887,-0.3834427736751523,-0.06133117164409206,0.09370096628369373,-0.3927859579334702
walking,walking1-2026-06-30_22-27-21,4,2.6848980322532863,2.6848980322532863,0.014525778954727949,-0.2680292656478022,-0.34348104877589436,-0.06712511309011562,0.11113876324468891,-0.42878153481452574
walking,walking1-2026-06-30_22-27-21,4,2.694900616249878,2.694900616249878,-0.13193315650990972,-0.32877068556332195,-0.27877213646491106,-0.0559381040804091,0.14425585852780087,-0.4478802627645224
walking,walking1-2026-06-30_22-27-21,4,2.7049032002464695,2.7049032002464695,-0.2801330127889318,-0.3721472441337652,-0.24028632616019804,-0.026068013810814444,0.19337457882478762,-0.4389608855998138
walking,walking1-2026-06-30_22-27-21,4,2.714905784243061,2.714905784243061,-0.3663711190467398,-0.38165138689769684,-0.22532377155310693,0.019901883639738306,0.24850687789144563,-0.4024344252637457
walking,walking1-2026-06-30_22-27-21,4,2.724908368239652,2.724908368239652,-0.3980230023259852,-0.36878575867491287,-0.2202537475496761,0.07182117453270734,0.30446403262626553,-0.34142393396942783
walking,walking1-2026-06-30_22-27-21,4,2.734910952236244,2.734910952236244,-0.3927038918039839,-0.36604820484132095,-0.22100679099662712,0.12649423455261846,0.34399288388688215,-0.26462584802234274
walking,walking1-2026-06-30_22-27-21,4,2.7449135362328354,2.7449135362328354,-0.37398362186719586,-0.3905263822806758,-0.20896943572427723,0.16817189323644083,0.3632610817482435,-0.17963485817710198
walking,walking1-2026-06-30_22-27-21,4,2.754916120229427,2.754916120229427,-0.3953028224430169,-0.4361824362871053,-0.18292180491148824,0.19870416398180057,0.37120453452446983,-0.08718620868249632
walking,walking1-2026-06-30_22-27-21,4,2.7649187042260186,2.7649187042260186,-0.398347711759947,-0.49344883548190915,-0.1507236572775549,0.2152581921824195,0.3769133307055058,0.006728109790842861
walking,walking1-2026-06-30_22-27-21,4,2.77492128822261,2.77492128822261,-0.3437726611112056,-0.5479500040141771,-0.11274886704039808,0.22509370403403486,0.38176691235794064,0.09452652655995725
walking,walking1-2026-06-30_22-27-21,4,2.784923872219202,2.784923872219202,-0.28131934912354284,-0.5742972175318315,-0.07976440227562379,0.23648087754593822,0.3751504763464798,0.17238783661483253
walking,walking1-2026-06-30_22-27-21,4,2.7949264562157934,2.7949264562157934,-0.2787499522606593,-0.5938600749665087,-0.055950393587477096,0.25429988412034304,0.3677981844442985,0.24532310163435217
walking,walking1-2026-06-30_22-27-21,4,2.804929040212385,2.804929040212385,-0.3306928392855776,-0.5865086331133234,-0.09794272603072783,0.2768694862902941,0.39118977776247654,0.3153117226613028
walking,walking1-2026-06-30_22-27-21,4,2.8149316242089766,2.8149316242089766,-0.432567218967451,-0.5246649683164027,-0.18865593228835975,0.31100783591047093,0.4386504072128348,0.3843185494379548
walking,walking1-2026-06-30_22-27-21,4,2.824934208205568,2.824934208205568,-0.5688300053279833,-0.4087959032505673,-0.30363776159904204,0.35301380635215807,0.5084302005895724,0.4578702768013589
walking,walking1-2026-06-30_22-27-21,4,2.8349367922021598,2.8349367922021598,-0.7020892406086122,-0.2533849757841558,-0.4086089535192506,0.4023852265535624,0.6140995319324319,0.5346945797590709
walking,walking1-2026-06-30_22-27-21,4,2.8449393761987514,2.8449393761987514,-0.7470549706623038,-0.10015636986726498,-0.502342864680107,0.4480359994882031,0.7343674065627838,0.5982825158915313
walking,walking1-2026-06-30_22-27-21,4,2.854941960195343,2.854941960195343,-0.7396100837412467,-0.0032850708069480537,-0.5384702289291953,0.48459336960261196,0.8422492799729169,0.6435355487282258
walking,walking1-2026-06-30_22-27-21,4,2.8649445441919346,2.8649445441919346,-0.7147096660045086,-0.015835330085532767,-0.43116107935834214,0.5229147592081319,0.8992610771239453,0.6647447705347062
walking,walking1-2026-06-30_22-27-21,4,2.874947128188526,2.874947128188526,-0.6331310275054525,-0.1668025186000456,-0.24476452029456044,0.5477645487578093,0.8475411663712997,0.6518529463679611
walking,walking1-2026-06-30_22-27-21,4,2.8849497121851178,2.8849497121851178,-0.6371696482852076,-0.29540864320602994,-0.09858364819626479,0.5396395882287718,0.6847954639234196,0.6104949085105442
walking,walking1-2026-06-30_22-27-21,4,2.8949522961817094,2.8949522961817094,-0.8263629698829147,-0.3002928487504731,-0.013309495177782907,0.4805274175934,0.45577489784765685,0.5370104671112444
walking,walking1-2026-06-30_22-27-21,4,2.904954880178301,2.904954880178301,-1.0881604526962514,-0.2321970258216944,0.023914744118801533,0.38172833128771017,0.2026393480863058,0.42949818843964305
walking,walking1-2026-06-30_22-27-21,4,2.9149574641748925,2.9149574641748925,-1.383583516782728,-0.12890384235592403,0.015823330588605307,0.262973454170298,0.0013871420798055832,0.3133211867179253
walking,walking1-2026-06-30_22-27-21,4,2.924960048171484,2.924960048171484,-1.6758079293715844,0.02136187920091952,-0.08714888538865133,0.14382124305658045,-0.06357675285925449,0.23330208854263412
walking,walking1-2026-06-30_22-27-21,4,2.9349626321680753,2.9349626321680753,-1.7157425414717167,0.23851491447630097,-0.3583704784625929,0.03760395053772449,0.008316959347432991,0.2120099367026866
walking,walking1-2026-06-30_22-27-21,4,2.944965216164667,2.944965216164667,-1.4508783418909985,0.5469402459761359,-0.675279417508531,-0.04479187753427072,0.15667588706176944,0.24074630834125713
walking,walking1-2026-06-30_22-27-21,4,2.9549678001612585,2.9549678001612585,-1.0683372828691433,0.9071962043176303,-0.9090036094171847,-0.09975741132319185,0.32189291426155964,0.2936022457172938
walking,walking1-2026-06-30_22-27-21,4,2.96497038415785,2.96497038415785,-0.7016052034210388,1.2208094689004738,-1.062058828729257,-0.11719186549048666,0.4659723985479735,0.34108036155958366
walking,walking1-2026-06-30_22-27-21,4,2.9749729681544417,2.9749729681544417,-0.4210350668024238,1.3917904649986317,-1.0556011285245976,-0.08807695717001676,0.5756202013548506,0.3747205829900853
walking,walking1-2026-06-30_22-27-21,4,2.9849755521510333,2.9849755521510333,-0.19230081868185744,1.331747528919437,-0.9507307024210663,-0.035742930769340306,0.6521774399689939,0.38580955974364184
walking,walking1-2026-06-30_22-27-21,4,2.994978136147625,2.994978136147625,0.07767759440031877,1.1320064704092345,-0.8208848717354673,0.010718470906609906,0.6785108835006369,0.370324631922252
walking,walking1-2026-06-30_22-27-21,4,3.0049807201442165,3.0049807201442165,0.31223937414597047,0.9695305148241636,-0.6585324648342499,0.03872342407286078,0.6445793600206399,0.33511378001528236
walking,walking1-2026-06-30_22-27-21,4,3.014983304140808,3.014983304140808,0.437508938189218,0.9074092946208251,-0.4897895656410639,0.05528527375841336,0.5534353167061365,0.30625854704839683
walking,walking1-2026-06-30_22-27-21,4,3.0249858881373997,3.0249858881373997,0.5251519294277398,0.8772432353145364,-0.35176027295308854,0.06099906420979396,0.442251695280336,0.2937176336906728
walking,walking1-2026-06-30_22-27-21,4,3.0349884721339913,3.0349884721339913,0.6378046595890537,0.8724609399243078,-0.3124036319853633,0.04960533444635306,0.32699835923151854,0.2921493189512988
walking,walking1-2026-06-30_22-27-21,4,3.044991056130583,3.044991056130583,0.7304979809357977,0.9471594126935237,-0.30322100218349196,0.026112092209304907,0.21823556712179518,0.29504141159363856
walking,walking1-2026-06-30_22-27-21,4,3.0549936401271744,3.0549936401271744,0.7287163101242871,1.0680271277026703,-0.26000967664001007,-0.0005540031357190583,0.1295157844153414,0.3041012419928456
walking,walking1-2026-06-30_22-27-21,4,3.064996224123766,3.064996224123766,0.6870499578040786,1.151557417558377,-0.22671891727451846,-0.03108341709689564,0.06718035352231663,0.3196355079868747
walking,walking1-2026-06-30_22-27-21,4,3.0749988081203576,3.0749988081203576,0.6564105921792381,1.192383875205672,-0.1985305695635899,-0.06845264380431995,0.029392258065912134,0.34724370451821585
