time,seconds_elapsed,z,y,x
1782667651575052300,0.09405224609375,-0.9928436279296875,-0.3098907470703125,0.2554168701171875
1782667651585000200,0.104000244140625,-1.00750732421875,-0.3108978271484375,0.2548675537109375
1782667651594949000,0.11394921875,-1.02001953125,-0.318359375,0.2532806396484375
1782667651604928300,0.12392822265625,-1.0332489013671875,-0.33013916015625,0.2594757080078125
1782667651614877200,0.133877197265625,-1.0655059814453125,-0.3476715087890625,0.26495361328125
1782667651624826000,0.143826171875,-1.083404541015625,-0.3634185791015625,0.2592010498046875
1782667651634774300,0.153774169921875,-1.0819854736328125,-0.3675384521484375,0.25048828125
1782667651644723200,0.16372314453125,-1.080413818359375,-0.3636016845703125,0.244415283203125
1782667651654702000,0.1737021484375,-1.0742034912109375,-0.3636474609375,0.23333740234375
1782667651664651300,0.1836513671875,-1.0701904296875,-0.3603973388671875,0.21270751953125
1782667651674600200,0.19360009765625,-1.052703857421875,-0.3477325439453125,0.18206787109375
1782667651684549000,0.203549072265625,-1.024566650390625,-0.3346099853515625,0.1560211181640625
1782667651694528000,0.213528076171875,-0.995452880859375,-0.3248443603515625,0.1301727294921875
1782667651704477200,0.223477294921875,-0.94903564453125,-0.324920654296875,0.1019134521484375
1782667651714425000,0.233425048828125,-0.881683349609375,-0.33306884765625,0.0807952880859375
1782667651724374000,0.2433740234375,-0.817474365234375,-0.343170166015625,0.06951904296875
1782667651734353200,0.253353271484375,-0.7564239501953125,-0.3505859375,0.0647735595703125
1782667651744302300,0.26330224609375,-0.6923828125,-0.355865478515625,0.0599822998046875
1782667651754251300,0.273251220703125,-0.6379852294921875,-0.35699462890625,0.0576934814453125
1782667651764200200,0.2832001953125,-0.603424072265625,-0.3579559326171875,0.0538787841796875
1782667651774148400,0.2931484375,-0.5909423828125,-0.364959716796875,0.0492095947265625
1782667651784127200,0.303127197265625,-0.5972442626953125,-0.3745880126953125,0.04425048828125
1782667651794076200,0.313076171875,-0.593902587890625,-0.3637542724609375,0.03240966796875
1782667651804025000,0.323025146484375,-0.590576171875,-0.3338623046875,0.01104736328125
1782667651813974000,0.33297412109375,-0.6008453369140625,-0.3086700439453125,-0.0198211669921875
1782667651823953200,0.342953125,-0.60675048828125,-0.28179931640625,-0.0410308837890625
1782667651833902000,0.352902099609375,-0.6334228515625,-0.2672119140625,-0.0549163818359375
1782667651843850200,0.362850341796875,-0.7000885009765625,-0.26666259765625,-0.0662841796875
1782667651853799200,0.372799072265625,-0.7574615478515625,-0.25445556640625,-0.076629638671875
1782667651863748000,0.382748046875,-0.7961883544921875,-0.230255126953125,-0.07476806640625
1782667651873727000,0.39272705078125,-0.8000946044921875,-0.229217529296875,-0.0711669921875
1782667651883676200,0.40267626953125,-0.760894775390625,-0.234649658203125,-0.07269287109375
1782667651893625300,0.412625244140625,-0.7156829833984375,-0.248291015625,-0.0698699951171875
1782667651903573200,0.4225732421875,-0.70953369140625,-0.310455322265625,-0.034942626953125
1782667651913553200,0.43255322265625,-0.7604522705078125,-0.423675537109375,0.03045654296875
1782667651923501300,0.442501220703125,-0.8536224365234375,-0.5429229736328125,0.132781982421875
1782667651933450200,0.4524501953125,-0.9985504150390625,-0.6786041259765625,0.2663421630859375
1782667651943399200,0.462399169921875,-1.1991119384765625,-0.806060791015625,0.41162109375
1782667651953378300,0.47237841796875,-1.4673919677734375,-0.8535614013671875,0.48248291015625
1782667651963327200,0.4823271484375,-1.649932861328125,-0.8770751953125,0.4488372802734375
1782667651973275100,0.492275146484375,-1.7237091064453125,-0.8412017822265625,0.3533172607421875
1782667651983224000,0.50222412109375,-1.7958831787109375,-0.721099853515625,0.212493896484375
1782667651993173200,0.51217333984375,-1.82177734375,-0.6367340087890625,0.07501220703125
1782667652003152100,0.522152099609375,-1.8160858154296875,-0.6079559326171875,-0.0334930419921875
1782667652013101000,0.53210107421875,-1.7380218505859375,-0.6163330078125,-0.1018524169921875
1782667652023050000,0.542050048828125,-1.57208251953125,-0.65960693359375,-0.1090087890625
1782667652032998100,0.551998046875,-1.3985595703125,-0.72430419921875,-0.0586395263671875
1782667652042978000,0.56197802734375,-1.2762298583984375,-0.7990264892578125,0.0107269287109375
1782667652052926000,0.571926025390625,-1.252227783203125,-0.827850341796875,0.09588623046875
1782667652062875400,0.58187548828125,-1.2714080810546875,-0.8050689697265625,0.1586151123046875
1782667652072824300,0.59182421875,-1.1945648193359375,-0.7352447509765625,0.1385650634765625
1782667652082773200,0.601773193359375,-1.0579071044921875,-0.61212158203125,0.0460205078125
1782667652092744700,0.61174462890625,-0.9320526123046875,-0.45172119140625,-0.060882568359375
1782667652102692600,0.621692626953125,-0.8004913330078125,-0.330108642578125,-0.1407470703125
1782667652112641500,0.6316416015625,-0.679473876953125,-0.2637786865234375,-0.178924560546875
1782667652122590700,0.6415908203125,-0.585113525390625,-0.2192535400390625,-0.169586181640625
1782667652132569600,0.651569580078125,-0.4940338134765625,-0.1792144775390625,-0.126434326171875
1782667652142518800,0.661518798828125,-0.387237548828125,-0.155120849609375,-0.09344482421875
1782667652152467700,0.6714677734375,-0.30462646484375,-0.1513519287109375,-0.069671630859375
1782667652162415600,0.68141552734375,-0.29010009765625,-0.1548004150390625,-0.0520172119140625
1782667652172395800,0.691395751953125,-0.3310546875,-0.16107177734375,-0.0426483154296875
1782667652182343700,0.70134375,-0.3616943359375,-0.167144775390625,-0.0326080322265625
1782667652192292600,0.711292724609375,-0.3539886474609375,-0.1746063232421875,-0.030670166015625
1782667652202241500,0.721241455078125,-0.327362060546875,-0.1838531494140625,-0.0484161376953125
1782667652212190700,0.731190673828125,-0.3051605224609375,-0.197113037109375,-0.0614471435546875
1782667652222169600,0.741169677734375,-0.2863311767578125,-0.199981689453125,-0.066925048828125
1782667652232118500,0.751118408203125,-0.26861572265625,-0.1938018798828125,-0.0560760498046875
1782667652242066700,0.761066650390625,-0.243438720703125,-0.19915771484375,-0.01947021484375
