activity,session,timestamp,seconds_elapsed,z_accel,y_accel,x_accel,z_gyro,y_gyro,x_gyro
jumping,jumping6-2026-07-04_08-00-40,1.0004154388047848,1.0004154388047848,-1.739669280082221,0.2589046068032187,-0.015156138777489947,1.5508008875014576,-0.7318516444704556,-0.34830578524712513
jumping,jumping6-2026-07-04_08-00-40,1.0104181431940482,1.0104181431940482,-2.3236440966972127,-0.27032922220180516,0.2980291490949683,1.8389974078933844,-0.6158042723925421,0.09401286232652278
jumping,jumping6-2026-07-04_08-00-40,1.0204208475833116,1.0204208475833116,-3.1312390296752035,-0.7071057372668692,0.6840333906683613,2.0250648987999487,-0.4897947834215889,0.5146747208455504
jumping,jumping6-2026-07-04_08-00-40,1.0304235519725753,1.0304235519725753,-3.9080460995179727,-1.1356322508563337,1.196877744100083,2.10767115389024,-0.3497799046416985,0.8707222613037566
jumping,jumping6-2026-07-04_08-00-40,1.0404262563618387,1.0404262563618387,-4.496231671983523,-1.4801761681061296,1.7013902690652911,2.082861540885918,-0.2385422332475925,1.134908038180355
jumping,jumping6-2026-07-04_08-00-40,1.0504289607511021,1.0504289607511021,-4.937593652188418,-1.7407500979630852,2.0524435593640136,1.9629854108902705,-0.20260836988588612,1.3069773632694355
jumping,jumping6-2026-07-04_08-00-40,1.0604316651403656,1.0604316651403656,-5.1627332534451345,-1.9633532581366948,2.2241672352933946,1.7518157784594834,-0.2459644092115111,1.3953772871654921
jumping,jumping6-2026-07-04_08-00-40,1.0704343695296292,1.0704343695296292,-5.325453151430032,-2.1789446638198546,2.3517275192233122,1.5175936477722052,-0.3086149955867183,1.4633830949943853
jumping,jumping6-2026-07-04_08-00-40,1.0804370739188927,1.0804370739188927,-5.345374660504903,-2.3748964914717456,2.49212984543668,1.2423998545043888,-0.39174715535382887,1.5000288189288569
jumping,jumping6-2026-07-04_08-00-40,1.090439778308156,1.090439778308156,-5.2723063105971955,-2.6318903470516264,2.627382471724909,0.94432849868165,-0.4864603964855306,1.5147917906307238
jumping,jumping6-2026-07-04_08-00-40,1.1004424826974197,1.1004424826974197,-5.0546623531345105,-3.008301535981558,2.6322173658685455,0.6152695599644786,-0.552435881688736,1.525671135374084
