activity,timestamp,seconds_elapsed,z_accel,y_accel,x_accel,z_gyro,y_gyro,x_gyro
walking,1.0099527487232947,1.0099527487232947,-0.0011288683052546686,-0.2674061094433409,-0.01030989485334026,0.04386053412484016,-0.24891905096790667,-0.06553178162376827
walking,1.0199532963010682,1.0199532963010682,-0.04725750931469948,-0.24548090693887767,0.0547269469499053,0.055296165091311376,-0.2668838026568838,-0.05729596614234104
walking,1.0299538438788418,1.0299538438788418,-0.13233300163477718,-0.2200183840051278,0.11553470692104029,0.06636030014879797,-0.30445676880328637,-0.05742756667855074
walking,1.0399543914566154,1.0399543914566154,-0.2570675456300986,-0.18118537155519665,0.14729789910741345,0.07808042990461536,-0.32856481784915736,-0.06358479674193288
walking,1.049954939034389,1.049954939034389,-0.3318304006225478,-0.16739606104207505,0.1499947901159811,0.0878774839566623,-0.31673687049713195,-0.06865054037351546
walking,1.0599554866121625,1.0599554866121625,-0.3559538997943069,-0.16809930903126363,0.14000254516104377,0.09151104072247716,-0.2942807932786051,-0.07604222989566727
walking,1.0699560341899361,1.0699560341899361,-0.40935044107091745,-0.18465747481352512,0.16500890713561345,0.08534211056329925,-0.29754047019263824,-0.09095584173344441
walking,1.0799565817677097,1.0799565817677097,-0.5344323328523074,-0.2112173674987454,0.20175367097050445,0.0650704371738985,-0.3327930819933784,-0.11626988699699774
walking,1.0899571293454833,1.0899571293454833,-0.7301762707791641,-0.17597690089245666,0.2038262696106689,0.03776619947282027,-0.36352194298159146,-0.14292916061867716
walking,1.099957676923257,1.099957676923257,-0.9086614916816989,-0.06721172895870012,0.15971077124566896,0.014955798920414275,-0.37137023618512166,-0.164872273373545
walking,1.1099582245010307,1.1099582245010307,-1.0166390127124714,0.0475789097340926,0.10180651002380406,-0.003899109408347932,-0.3687815787502239,-0.18539515759543168
walking,1.1199587720788042,1.1199587720788042,-1.1476385208545201,0.15185817522103123,0.046951972942292516,-0.015611124852198666,-0.36654451027492685,-0.2077100584728933
walking,1.129959319656578,1.129959319656578,-1.3527313019711493,0.2957777018112193,-0.047231230196650854,-0.013162491549994925,-0.3480712409170807,-0.22165722814473118
walking,1.1399598672343516,1.1399598672343516,-1.4901270646936207,0.48182303662015136,-0.19055087713613153,0.00907102194060709,-0.3068621980111424,-0.2166837627891445
walking,1.1499604148121252,1.1499604148121252,-1.506368695363668,0.6534829910551091,-0.34016141483934315,0.04975733643621842,-0.2606499276673184,-0.18604115039117375
walking,1.1599609623898988,1.1599609623898988,-1.446816751091702,0.778653421502265,-0.46698006978219886,0.09599810188242953,-0.22850611847897212,-0.13762966325180703
walking,1.1699615099676723,1.1699615099676723,-1.3384462568862903,0.8798471170702019,-0.539767228951573,0.131543292546219,-0.21715726068092908,-0.07517070923128913
walking,1.179962057545446,1.179962057545446,-1.1981820222727195,0.9301656832928005,-0.5484868557424952,0.1537965662308391,-0.22561588076959094,0.0012426052761941378
walking,1.1899626051232195,1.1899626051232195,-1.0098077941760362,0.9136520490727438,-0.5283749532902362,0.16069220620407623,-0.24200962994434733,0.08030549801232426
walking,1.199963152700993,1.199963152700993,-0.7789988980888518,0.8828957448226235,-0.5048811474476711,0.1497630042980176,-0.254165865483475,0.1429695372968482
walking,1.2099637002787667,1.2099637002787667,-0.573172449104027,0.8865617459233354,-0.520306045544668,0.1254112985790767,-0.24686123369911583,0.17423803208592487
walking,1.2199642478565402,1.2199642478565402,-0.40532079887695954,0.9217516589919511,-0.6146828245749532,0.09604805539976329,-0.201490237049968,0.1736145111901491
walking,1.229964795434314,1.229964795434314,-0.2325238412459548,0.9696093138673543,-0.7568606560709483,0.06460553502148686,-0.11954134523443276,0.13755215241449173
walking,1.2399653430120876,1.2399653430120876,-0.10228119268318811,1.0168664272013321,-0.8875560121879719,0.03539368863958754,-0.018155783757117065,0.07016107119272355
walking,1.2499658905898614,1.2499658905898614,-0.051436241468807445,1.04587095206533,-1.0373632362719436,0.012013487531067867,0.09034876938639717,-0.015512496985818532
walking,1.259966438167635,1.259966438167635,-0.0277396419316681,1.0922984992048177,-1.2075170845922116,-0.00604365693732417,0.18247386569959706,-0.10629554768963369
walking,1.2699669857454086,1.2699669857454086,-0.008951428242985013,1.1683072954666314,-1.341890398077933,-0.02129678343315119,0.24359898856681073,-0.18609554414242888
walking,1.2799675333231821,1.2799675333231821,-0.007846740267494177,1.242011194489763,-1.4375193957505474,-0.03351181502656055,0.28661702031624664,-0.24170816228274414
walking,1.2899680809009557,1.2899680809009557,0.010494936618525335,1.2931165152820134,-1.5034908462990306,-0.046994727673909664,0.3217981358482155,-0.26704284393738337
walking,1.2999686284787293,1.2999686284787293,0.06950824276873717,1.3317602855976693,-1.5376308580223277,-0.06768652354186101,0.33301867127171814,-0.262352915735985
walking,1.3099691760565029,1.3099691760565029,0.12743373474318198,1.3850089936681542,-1.547337715434986,-0.09773840418195738,0.30958557800630604,-0.2337620903468189
walking,1.3199697236342764,1.3199697236342764,0.13373000053811643,1.4522290052095506,-1.5388997430472042,-0.1360872242189482,0.26061710821945544,-0.187544824679718
walking,1.32997027121205,1.32997027121205,0.1096702206203423,1.5247056938418717,-1.5290884659549484,-0.1757334614328337,0.1996095438713618,-0.13108178964290343
walking,1.3399708187898236,1.3399708187898236,0.10799414638726787,1.618320376769526,-1.526673678298369,-0.21119093103829775,0.13891943835041012,-0.07452480783771917
walking,1.3499713663675972,1.3499713663675972,0.11831696519705834,1.7175887872044717,-1.5283179268092058,-0.2388668885040251,0.08264968472782225,-0.028975794031066014
walking,1.3599719139453708,1.3599719139453708,0.11828700603796816,1.7987016288961448,-1.5439949590403188,-0.2556721233075899,0.030883408142372722,-0.0027680768597997526
walking,1.3699724615231448,1.3699724615231448,0.11426989439143855,1.8528387974205909,-1.5605715543511252,-0.2609871911462047,-0.011686763065080454,0.00051306318700187
walking,1.3799730091009184,1.3799730091009184,0.11194012373416333,1.874093908083196,-1.5834531745697642,-0.25832377424545716,-0.03531835944533145,-0.013761436730354579
walking,1.389973556678692,1.389973556678692,0.1331742620158391,1.883470373231469,-1.6335239670012458,-0.25309702653747806,-0.03370490122777002,-0.03541509651939659
walking,1.3999741042564655,1.3999741042564655,0.21911069272929395,1.8859274760661946,-1.6823216818049294,-0.2542747488020844,-0.009307878615647688,-0.05946328794228334
walking,1.409974651834239,1.409974651834239,0.34407214468280706,1.8526743919832505,-1.6812453282046291,-0.25848043835452467,0.030660585015560633,-0.07834588264306072
walking,1.4199751994120127,1.4199751994120127,0.4837173407036617,1.7634546360039072,-1.6305155385879662,-0.26105617929497354,0.06318329614398904,-0.08591728162904705
walking,1.4299757469897862,1.4299757469897862,0.6358989830892348,1.635734391328358,-1.5598666930522922,-0.2656837382647824,0.0697577231152593,-0.08647423301425396
walking,1.4399762945675598,1.4399762945675598,0.7420187823972391,1.4729387798401343,-1.4990363991683717,-0.27078567921575625,0.05180836164519814,-0.08428067026140022
walking,1.4499768421453334,1.4499768421453334,0.8146125826801338,1.2825562196250553,-1.4289719687690143,-0.28300136159100137,0.023731987104281746,-0.07931071954301855
walking,1.459977389723107,1.459977389723107,0.8954858647228315,1.1012502710933223,-1.3523292451923334,-0.3077843650845468,-0.0073770377965006375,-0.07299392259385665
walking,1.4699779373008806,1.4699779373008806,0.9648014659577923,0.9469377924450251,-1.2942534941264514,-0.34387076928810084,-0.031588215034225486,-0.07662218672346018
walking,1.4799784848786541,1.4799784848786541,0.9994317478311951,0.8259881646375367,-1.260757501042003,-0.38544921600657694,-0.0292740435070184,-0.09873493006441977
walking,1.4899790324564277,1.4899790324564277,1.0204731107593927,0.718319047239691,-1.2583660932433929,-0.4274395724400509,-0.002828574682372194,-0.13746079483342163
walking,1.4999795800342017,1.4999795800342017,1.0159196251198497,0.6199685465817988,-1.2645923798377026,-0.4647497888186339,0.02834387149264643,-0.18722716026918634
walking,1.5099801276119753,1.5099801276119753,0.9499719380612479,0.5504075470480341,-1.2437024424045273,-0.4881680766520677,0.05627662326002095,-0.24080471804829862
walking,1.5199806751897489,1.5199806751897489,0.8677284537780039,0.4967132576276803,-1.21019866975105,-0.4935323290635705,0.07512044980133682,-0.2881044726607188
walking,1.5299812227675225,1.5299812227675225,0.7997769345633635,0.4473561459989196,-1.1606673876568752,-0.4825679192821626,0.08134726152905002,-0.3218946178956548
walking,1.539981770345296,1.539981770345296,0.7194001403439181,0.39382615694256323,-1.0926845295870315,-0.46148111588761254,0.08565804115234284,-0.3365663497193777
walking,1.5499823179230696,1.5499823179230696,0.6425595243809256,0.33317361291276393,-1.0408885027700847,-0.43948486006344434,0.09092168408306804,-0.3336258276063032
walking,1.5599828655008432,1.5599828655008432,0.5849775458437236,0.27835533548216174,-1.011501374722881,-0.4187513301320509,0.10342015752670508,-0.3127439361569939
walking,1.5699834130786168,1.5699834130786168,0.5135519189191032,0.22655450522485093,-1.0351693085681768,-0.4030600528188522,0.1304379779831745,-0.27341763168942546
walking,1.5799839606563904,1.5799839606563904,0.4069643943189961,0.17673094124036956,-1.1099969324751886,-0.3999537318691393,0.1644027572235134,-0.21400207226417392
walking,1.589984508234164,1.589984508234164,0.33575704799306383,0.15964791305574227,-1.1599938421535747,-0.40963349950330086,0.19086411287306382,-0.14003780242218233
walking,1.5999850558119375,1.5999850558119375,0.32417343127523557,0.15752097087344444,-1.137023381035902,-0.4223205311575861,0.19152813653359757,-0.06856015940923993
walking,1.609985603389711,1.609985603389711,0.3430138479064509,0.13095565929666148,-1.064755977694606,-0.42834812368741404,0.1582000754955495,-0.01753272701947421
walking,1.6199861509674847,1.6199861509674847,0.34666988825617767,0.06220024992577875,-0.9719410363698091,-0.42138923405779766,0.11067753106584668,0.009220919606963217
walking,1.6299866985452587,1.6299866985452587,0.3328175011467167,-0.03572183645493429,-0.8922103347270276,-0.39806139752944597,0.07582596840216316,0.013511803609311283
walking,1.6399872461230323,1.6399872461230323,0.34166284114816525,-0.11275335726911906,-0.8716722715883745,-0.36417557295642594,0.07355384918711912,-0.004003318540814526
walking,1.6499877937008058,1.6499877937008058,0.35456514933158595,-0.13699620600915408,-0.9178242513097284,-0.32360028277113917,0.1040096964889147,-0.03483754960417702
walking,1.6599883412785794,1.6599883412785794,0.3393571649022868,-0.1403075412422752,-0.9713588729994649,-0.2820700745023274,0.14388460452236046,-0.07130767582943295
walking,1.669988888856353,1.669988888856353,0.3053512318455591,-0.15669404943274653,-1.0025978903583694,-0.2414601949106164,0.18689838424141497,-0.10476927915054995
walking,1.6799894364341266,1.6799894364341266,0.2613777577965283,-0.18334543266944198,-1.0184291064986914,-0.20477233203006176,0.24335358652447203,-0.12647676806828387
walking,1.6899899840119001,1.6899899840119001,0.2494016671779329,-0.22024940027062914,-1.0248474137539456,-0.17559799827821504,0.3048543562969098,-0.1372278195398214
walking,1.6999905315896737,1.6999905315896737,0.25936294197111565,-0.23519104438243357,-1.0439765294488208,-0.15216218408795798,0.3513099670977262,-0.13583418219414592
walking,1.7099910791674473,1.7099910791674473,0.2242993864203502,-0.24267249674404834,-1.0632644955683392,-0.13572851755014265,0.37861561486345574,-0.11789841001553569
walking,1.7199916267452209,1.7199916267452209,0.15225509790560068,-0.27077320357849877,-1.0555740003372762,-0.12999212780529087,0.390549460297498,-0.08623533654292444
walking,1.7299921743229945,1.7299921743229945,0.0512668215205338,-0.27525715276333396,-1.0203837204281303,-0.12877109772803955,0.3911687411324637,-0.0413751763726671
walking,1.739992721900768,1.739992721900768,-0.03992413130043504,-0.2337908294798279,-0.9778835084404693,-0.12441090507487722,0.37895114330044244,0.010990772453923575
walking,1.7499932694785416,1.7499932694785416,-0.11441602432025028,-0.1956296630057642,-0.9364358776903092,-0.11371847427410386,0.34579277607723,0.05256546414771143
walking,1.7599938170563156,1.7599938170563156,-0.23450168420011144,-0.1778556323421334,-0.886517679833664,-0.09190820439998998,0.30024331065068366,0.07448761994947543
walking,1.7699943646340892,1.7699943646340892,-0.4010484725303257,-0.15503902388448854,-0.8392018042480173,-0.050920645944585605,0.25886601370621976,0.08342433277359579
walking,1.7799949122118628,1.7799949122118628,-0.5821465170968738,-0.13671799768908782,-0.8413244734701305,0.0017417619506076357,0.23163562951469632,0.08749254331038432
walking,1.7899954597896364,1.7899954597896364,-0.7364354177341511,-0.11625765334934224,-0.8826022073886147,0.05542234644408512,0.21304711398909912,0.09841742768294331
walking,1.79999600736741,1.79999600736741,-0.8755749994599552,-0.054995609793924864,-0.9001532600131535,0.11110114634048229,0.20663758945104826,0.13210588945870194
walking,1.8099965549451835,1.8099965549451835,-0.9919187412567604,0.031491436296691946,-0.9410511125491845,0.16087037522584158,0.20245796856608195,0.18088483319196125
walking,1.819997102522957,1.819997102522957,-1.0865556868300676,0.1263691806896135,-1.0033446239207353,0.19998771153105782,0.19025343162645886,0.23567265619785133
walking,1.8299976501007307,1.8299976501007307,-1.1777140959787409,0.21178625203054646,-1.033463556635728,0.22182472700687392,0.1848213662405814,0.2882674859942807
walking,1.8399981976785043,1.8399981976785043,-1.2525152572839904,0.2523755271924436,-1.0406928529196113,0.22805844704771466,0.20879414627642753,0.337248053143767
walking,1.8499987452562778,1.8499987452562778,-1.268857653638982,0.2372605867456974,-1.025026291214418,0.21512282378841358,0.2761484970052015,0.38120379609297167
walking,1.8599992928340514,1.8599992928340514,-1.1652729854205202,0.15081464284025115,-0.9003470136613111,0.17889444146260125,0.31358702470682187,0.40864429617057696
walking,1.869999840411825,1.869999840411825,-1.0735236375952955,0.004955645894439725,-0.6281325804422822,0.14704192380715833,0.26867779512400825,0.42237912786448556
walking,1.8800003879895986,1.8800003879895986,-1.07188141570932,-0.07062041265410358,-0.40357105718833775,0.1412227610362729,0.1732893007879617,0.42786087103997983
walking,1.8900009355673726,1.8900009355673726,-0.9658719020916315,-0.07229335017482272,-0.29944034623990995,0.15023800233541532,0.05100822203616595,0.42409993309711386
walking,1.9000014831451462,1.9000014831451462,-0.821471721813193,-0.046041974378393,-0.23366393195784957,0.14789842537365555,-0.09284474632841623,0.39206356475993415
walking,1.9100020307229197,1.9100020307229197,-0.8223082497542493,0.01198226577842569,-0.2029790338258548,0.12510208037169168,-0.22599495230209649,0.3295720023141174
walking,1.9200025783006933,1.9200025783006933,-0.894277902626021,0.14749677238110614,-0.2537906002732627,0.08696223209533839,-0.30476763494771536,0.23977361958998172
walking,1.930003125878467,1.930003125878467,-0.9804404297561494,0.3834388360497105,-0.38568181759644693,0.046703582703916044,-0.274425969001071,0.13901769115490908
walking,1.9400036734562405,1.9400036734562405,-1.0378452724534437,0.6204138894935387,-0.5529990810570992,0.012556145514743603,-0.11853947090424627,0.036741385254815226
walking,1.950004221034014,1.950004221034014,-1.0126143401859542,0.7682640233512594,-0.6946944393891882,-0.016162588639590164,0.10130004272194522,-0.0635956725042868
walking,1.9600047686117876,1.9600047686117876,-0.996322968643113,0.9514014482806722,-0.7355081262466374,-0.02904318994206169,0.32524080551249923,-0.16125498985625852
walking,1.9700053161895612,1.9700053161895612,-0.9745258671431417,1.2158568303187958,-0.727251023267868,-0.016622119190565984,0.5114733348402964,-0.23702549135209985
walking,1.9800058637673348,1.9800058637673348,-0.8658707168801505,1.4073924770932387,-0.6661529875327179,0.022459967578043888,0.6139407632668232,-0.27784712183845767
walking,1.9900064113451084,1.9900064113451084,-0.7537825351039111,1.4766069006419642,-0.5067661548656867,0.07909329760009093,0.6447869856530394,-0.274297392096435
walking,2.000006958922882,2.000006958922882,-0.6358084561528073,1.5062149997661234,-0.31870834266538317,0.1469340754248351,0.6447039051837702,-0.21273509236786597
walking,2.010007506500656,2.010007506500656,-0.397522772385791,1.5751295718577394,-0.16592149086099914,0.22166340121549324,0.6445120553955492,-0.09262944659565507
walking,2.0200080540784295,2.0200080540784295,-0.0664086640484412,1.6541832426164074,-0.03985277149831698,0.29976707463746183,0.624550000554814,0.07093631888806357
walking,2.030008601656203,2.030008601656203,0.24789909528426105,1.6908516962908127,0.07424793394929965,0.3622504729619122,0.5460941955843663,0.2431830038854906
walking,2.0400091492339767,2.0400091492339767,0.47396681041406763,1.726436221949671,0.23954472907727947,0.4009934312035053,0.40155916097236943,0.38960334095939536
walking,2.0500096968117503,2.0500096968117503,0.5595766974624347,1.7207243439970834,0.44194732595665287,0.41983657321556417,0.22657802898046583,0.4957271878852997
walking,2.060010244389524,2.060010244389524,0.5654944306754018,1.6546321187228632,0.6131190330930446,0.4283779661435439,0.06200687018722814,0.5554747133713017
walking,2.0700107919672974,2.0700107919672974,0.5608882549279884,1.6092551456571949,0.7308720882498446,0.4268076043972096,-0.09669628727698786,0.5635897584520886
walking,2.080011339545071,2.080011339545071,0.45725280011035874,1.6089669790501915,0.8006884127258376,0.41461449542729484,-0.22222959243761545,0.5261822577503346
walking,2.0900118871228446,2.0900118871228446,0.3342759232374994,1.6268898116763522,0.8153549782434282,0.40093714624798205,-0.2847594435508748,0.4510102802563807
walking,2.100012434700618,2.100012434700618,0.2703953452223318,1.6552600619020665,0.7557434803339392,0.3941716693148555,-0.2929175424860049,0.34902421221475644
walking,2.1100129822783917,2.1100129822783917,0.23021867001989305,1.6857462399830845,0.6398994510827168,0.38861405399216414,-0.28504591709180915,0.23602408387917648
walking,2.1200135298561653,2.1200135298561653,0.16811559249730637,1.7127872282286065,0.5101825814109358,0.37311233090981605,-0.2677155598926093,0.12726971918505342
walking,2.130014077433939,2.130014077433939,0.09677206300618996,1.7202968088918733,0.4134057315104524,0.34206790363417616,-0.2458298474962816,0.03341459110681931
walking,2.140014625011713,2.140014625011713,0.0719751607101866,1.7276607304526455,0.3507201024596116,0.29985754322970704,-0.22289784507884142,-0.047394218599859955
walking,2.1500151725894865,2.1500151725894865,0.024123597599869595,1.7201133239710034,0.2703371716062473,0.25427233117613146,-0.19041551736011705,-0.10697791199123913
walking,2.16001572016726,2.16001572016726,0.011944989289402928,1.6950583987070962,0.205935711325838,0.20446048855452825,-0.1741392648535495,-0.14369925272141396
walking,2.1700162677450336,2.1700162677450336,0.012551709107450145,1.6405745209009495,0.20404160295903045,0.1487601567904264,-0.17108849275662225,-0.1718086116855502
walking,2.1800168153228072,2.1800168153228072,-0.07416401150990964,1.5813286603522383,0.20408087415608941,0.09613383384992323,-0.18132735056495766,-0.19174749413360084
walking,2.190017362900581,2.190017362900581,-0.1495762535694326,1.5855209971294466,0.17850698819483027,0.05978641536539995,-0.18279123486580226,-0.20517431719720142
walking,2.2000179104783544,2.2000179104783544,-0.23005996570317933,1.603226696058448,0.11760750667419995,0.05180533080294378,-0.14209649898799454,-0.19902609009468133
walking,2.210018458056128,2.210018458056128,-0.26497074437437446,1.5409831400087262,-0.011073469848378995,0.06855772326749188,-0.07074198514798422,-0.17013058353208524
walking,2.2200190056339015,2.2200190056339015,-0.21678267550233332,1.4531929330783988,-0.10335163721402091,0.08641425349046122,-0.014754012410254674,-0.138249621711559
walking,2.230019553211675,2.230019553211675,-0.1998765344545012,1.424923222307858,-0.14178134664691527,0.10176960955308813,0.016749695623244156,-0.12159008872419501
walking,2.2400201007894487,2.2400201007894487,-0.2175778587107339,1.408681934734246,-0.1687282588053312,0.12567620555452821,0.03756957704265836,-0.09200513726644699
walking,2.2500206483672227,2.2500206483672227,-0.1598924192141165,1.3502648895157234,-0.23663462272389904,0.1515027673910518,0.07165302699459884,-0.05189826738106453
walking,2.2600211959449963,2.2600211959449963,-0.003747105047628374,1.2846233594348329,-0.3349264286609537,0.16615518197320073,0.1077363347808939,0.006368794581076011
walking,2.27002174352277,2.27002174352277,0.19436813469524813,1.223389031100114,-0.3634727771463288,0.1700764058426461,0.1305136932326951,0.07872919919576227
walking,2.2800222911005434,2.2800222911005434,0.44653428523468575,1.1316345811963842,-0.35127770611796244,0.16594531800204004,0.14371964067705822,0.16021603656149408
walking,2.290022838678317,2.290022838678317,0.7432471467176667,0.9769432757646582,-0.320861670262717,0.16046064185876271,0.13790595286445362,0.2402178390772903
walking,2.3000233862560906,2.3000233862560906,1.0536630852501356,0.7718012297462464,-0.2791028652762792,0.14924453668209664,0.10389548210313887,0.3032139862644899
walking,2.310023933833864,2.310023933833864,1.292948352593159,0.5563488934123101,-0.16195582795730673,0.1296617950859229,0.053137135983086295,0.3399176085146458
walking,2.3200244814116378,2.3200244814116378,1.4456689456108673,0.3374579663148395,-0.06223555742526379,0.10350154169811764,-0.008962159663197841,0.35163957192637363
walking,2.3300250289894113,2.3300250289894113,1.5857095399438839,0.17274919575073538,0.06098914181233601,0.07125476589809056,-0.0828874828576487,0.3389105353503775
walking,2.340025576567185,2.340025576567185,1.638754551589307,0.044534571642156906,0.2202193537769185,0.050214448944443366,-0.15778670348345486,0.2991781373482856
walking,2.3500261241449585,2.3500261241449585,1.5842009858712995,-0.08772542487450713,0.3316546941887789,0.038684795501396654,-0.21655936212127286,0.24262132813951956
walking,2.360026671722732,2.360026671722732,1.470803389724207,-0.1788216396323544,0.37894826167877255,0.04297151361490766,-0.2395935687811474,0.17319881100315532
walking,2.370027219300506,2.370027219300506,1.376084018282047,-0.2069189018596549,0.3969776743180545,0.053656797171062226,-0.234121756281203,0.09680250901335115
walking,2.3800277668782797,2.3800277668782797,1.2222385674048744,-0.19561702749722407,0.3892572430283379,0.07460285305389183,-0.19328737372409033,0.016710789836248907
walking,2.3900283144560532,2.3900283144560532,1.0617960348372302,-0.21781906315552393,0.3619261518436816,0.09945239927293627,-0.1368656020677631,-0.06834876087276985
walking,2.400028862033827,2.400028862033827,0.8614949846776673,-0.2244244350027749,0.31407631582834844,0.12342363005954846,-0.06010576527656494,-0.12869936415727776
walking,2.4100294096116004,2.4100294096116004,0.602646712372849,-0.2274155010711546,0.2163073366146393,0.12702198661100075,0.022988052846432017,-0.1600645978648742
walking,2.420029957189374,2.420029957189374,0.4289766665129663,-0.197195067883053,0.15132644296652875,0.10279419243993293,0.05255620866965357,-0.1723669144017174
walking,2.4300305047671475,2.4300305047671475,0.23124834994943755,-0.11977312342559308,0.152858352371998,0.06774894376341181,0.035513473846783036,-0.16762910112221205
walking,2.440031052344921,2.440031052344921,0.005688402353955041,-0.10514795150155126,0.17806183471230794,0.031096742521499805,-0.0025945465006074753,-0.15653035746722796
walking,2.4500315999226947,2.4500315999226947,-0.20768628614455606,-0.13088138870867916,0.16949287993548387,-0.007999486572276105,-0.04709009327422764,-0.14350239847898613
walking,2.4600321475004683,2.4600321475004683,-0.41844991488220085,-0.11628814884190226,0.14740222448945486,-0.0464166676590527,-0.10324220007106899,-0.12087394174411334
walking,2.470032695078242,2.470032695078242,-0.6124843051875312,-0.06243721011035641,0.14542603186383102,-0.08829731271847593,-0.15228984044478572,-0.09394949681655304
walking,2.4800332426560154,2.4800332426560154,-0.7922562302685172,0.022526950708636105,0.14619339323449224,-0.12758077086984299,-0.19063376618020333,-0.06647759196602472
walking,2.4900337902337895,2.4900337902337895,-0.9670753075477473,0.13000954031060433,0.12810118199000992,-0.1574556700978882,-0.2100830698026896,-0.04157770860861015
walking,2.500034337811563,2.500034337811563,-1.1390361115306482,0.2464900727526303,0.09444310914548885,-0.1695250777733551,-0.20535974025956194,-0.013970387788419875
walking,2.5100348853893366,2.5100348853893366,-1.2478863094592314,0.35268135717970783,0.060302678481178616,-0.173488726557711,-0.18944506895447438,0.01508784608498212
walking,2.52003543296711,2.52003543296711,-1.3486211865370137,0.4756793144862957,0.01573434504407451,-0.1632576150007357,-0.16512996551189282,0.04280372436213491
walking,2.5300359805448838,2.5300359805448838,-1.4496862118604061,0.6310055291956496,-0.0193444202967316,-0.13347223756846055,-0.12056456856885976,0.07581325972645733
walking,2.5400365281226573,2.5400365281226573,-1.4795207494986562,0.740555279181786,-0.07494278075308633,-0.08434542427817367,-0.08350521292891935,0.11893406891360309
walking,2.550037075700431,2.550037075700431,-1.4176538695632228,0.8238923492237814,-0.1806884895627837,-0.024319784505615595,-0.041872026274875906,0.17364726386229135
