time,seconds_elapsed,z,y,x
1782858769794361300,0.094361328125,0.024159131571650505,-0.0023150858469307423,-0.0006791060441173613
1782858769804310300,0.104310302734375,0.02750539407134056,0.018258100375533104,-0.00817910023033619
1782858769814258400,0.114258544921875,0.02599911019206047,0.015840481966733932,-0.014828480780124664
1782858769824207400,0.124207275390625,0.025659557431936264,0.006577741354703903,-0.008511463180184364
1782858769834186200,0.134186279296875,0.026009229943156242,0.006131395697593689,-0.001954760169610381
1782858769844135200,0.14413525390625,0.026089657098054886,0.007784419693052769,-0.005505286622792482
1782858769854084400,0.15408447265625,0.027844680473208427,0.002662362065166235,-0.009382050484418869
1782858769864063200,0.164063232421875,0.024048078805208206,0.015787752345204353,-0.007428088691085577
1782858769874012200,0.17401220703125,0.02544970065355301,0.012374910525977612,-0.00774740194901824
1782858769883961300,0.18396142578125,0.02558232471346855,-0.00006817692337790504,-0.002353968098759651
1782858769893909500,0.193909423828125,0.027399133890867233,0.009664079174399376,-0.007245928514748812
1782858769903889400,0.203889404296875,0.027669178321957588,0.010090983472764492,-0.009150621481239796
1782858769913837300,0.21383740234375,0.025356221944093704,0.005656288005411625,-0.010037986561655998
1782858769923786500,0.223786376953125,0.025896845385432243,0.004239752423018217,-0.00657667638733983
1782858769933735400,0.2337353515625,0.026444656774401665,0.008113319985568523,-0.006593986880034208
1782858769943714300,0.24371435546875,0.027027355507016182,0.006133792456239462,-0.008158594369888306
1782858769953663200,0.253663330078125,0.026222549378871918,0.008620386011898518,-0.005291700828820467
1782858769963612400,0.2636123046875,0.02598446235060692,0.010309096425771713,-0.0079173119738698
1782858769973560300,0.273560302734375,0.02629019320011139,0.007760184817016125,-0.008446748368442059
1782858769983539500,0.28353955078125,0.026342658326029778,0.008070443756878376,-0.00957060232758522
1782858769993488400,0.29348828125,0.026331739500164986,0.0086054727435112,-0.006331665441393852
1782858770003437300,0.303437255859375,0.0273264292627573,0.006450442597270012,-0.008006793446838856
1782858770013386200,0.31338623046875,0.02713947556912899,0.008172974921762943,-0.008411594666540623
1782858770023365400,0.323365478515625,0.02816878817975521,0.009245163761079311,-0.00609357887879014
1782858770033314300,0.333314208984375,0.02779221720993519,0.007418501656502485,-0.010129333473742008
1782858770043262200,0.34326220703125,0.0258646197617054,0.008889098651707172,-0.013405021280050278
1782858770053211400,0.35321142578125,0.02701776847243309,0.008294947445392609,-0.008518386632204056
1782858770063190300,0.363190185546875,0.024588434025645256,0.006124471314251423,-0.0071164988912642
1782858770073139500,0.373139404296875,0.02755972184240818,0.0070978570729494095,-0.0062887887470424175
1782858770083088400,0.38308837890625,0.02696184255182743,0.009362875483930111,-0.00726536987349391
1782858770093037300,0.393037353515625,0.0264851376414299,0.00632074661552906,-0.0075820195488631725
1782858770103016400,0.403016357421875,0.026219353079795837,0.00848802737891674,-0.007744472473859787
1782858770112965400,0.41296533203125,0.025185514241456985,0.008023837581276894,-0.007622233126312494
1782858770122913300,0.422913330078125,0.02653041109442711,0.006958573590964079,-0.0052208611741662025
1782858770132862200,0.4328623046875,0.026023078709840775,0.006562827620655298,-0.007641940843313932
1782858770142841300,0.44284130859375,0.026981282979249954,0.006834203843027353,-0.00637773796916008
1782858770152790300,0.452790283203125,0.026614567264914513,0.005857356358319521,-0.0075881448574364185
1782858770162739200,0.4627392578125,0.02623107098042965,0.008823585696518421,-0.007209709845483303
1782858770172687400,0.472687255859375,0.02502785436809063,0.007458182517439127,-0.007654457353055477
1782858770182667300,0.482667236328125,0.025304824113845825,0.00993092730641365,-0.007124488707631826
1782858770192615200,0.492615234375,0.026135995984077454,0.0059929112903773785,-0.005368666257709265
1782858770202564400,0.502564453125,0.025360217317938805,0.007940215058624744,-0.008136489428579807
1782858770212513500,0.512513427734375,0.026396986097097397,0.00833649281412363,-0.009725597687065601
1782858770222492400,0.522492431640625,0.02569950371980667,0.008154865354299545,-0.006933273747563362
1782858770232441300,0.53244140625,0.0262457188218832,0.009464342147111893,-0.009221994318068027
1782858770242390300,0.542390380859375,0.02786385454237461,0.009497098624706268,-0.008761267177760601
1782858770252369400,0.552369384765625,0.02737596444785595,0.007083741948008537,-0.00866406224668026
1782858770262318300,0.562318359375,0.026269154623150826,0.006227003410458565,-0.007015032693743706
1782858770272266500,0.5722666015625,0.028054537251591682,0.009826265275478363,-0.008772186003625393
1782858770282215400,0.58221533203125,0.025197764858603477,0.006101568229496479,-0.006449909880757332
1782858770292194300,0.5921943359375,0.026014823466539383,0.006366020068526268,-0.008184160105884075
1782858770302143200,0.602143310546875,0.025252891704440117,0.008140218444168568,-0.006625944748520851
1782858770312092400,0.612092529296875,0.027030019089579582,0.008496815338730812,-0.007253918331116438
1782858770322040300,0.622040283203125,0.02653280831873417,0.009132245555520058,-0.00923531036823988
1782858770332020200,0.632020263671875,0.025859294459223747,0.007671235594898462,-0.007026217877864838
1782858770341968400,0.641968505859375,0.02834988199174404,0.008359662257134914,-0.006842459551990032
1782858770351917300,0.651917236328125,0.024504011496901512,0.00920574925839901,-0.007266967557370663
1782858770361866200,0.6618662109375,0.027035878971219063,0.005922337528318167,-0.007528756279498339
1782858770371845000,0.67184521484375,0.027104321867227554,0.006417152937501669,-0.006624080706387758
1782858770381794600,0.681794677734375,0.02689339965581894,0.0070669641718268394,-0.008340754546225071
1782858770391743500,0.691743408203125,0.025915753096342087,0.006942328065633774,-0.0049100699834525585
1782858770401691400,0.70169140625,0.02678127959370613,0.00740278884768486,-0.0059870523400604725
